Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
1.619	1.24e-01	E083 Fetal Heart	Fetal Heart	H3K36me3	E083-H3K36me3.broadPeak.gz	cg03049340,cg10872490,cg12136608	E083	1.00e+00
-2.165	1.00e+00	E084 Fetal Intestine Large	Fetal Intestine Large	H3K36me3	E084-H3K36me3.broadPeak.gz		E084	1.00e+00
-2.227	1.00e+00	E086 Fetal Kidney	Fetal Kidney	H3K36me3	E086-H3K36me3.broadPeak.gz		E086	1.00e+00
-0.252	6.68e-01	E088 Fetal Lung	Fetal Lung	H3K36me3	E088-H3K36me3.broadPeak.gz	cg03049340,cg10375300	E088	1.00e+00
-1.109	8.82e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K36me3	E090-H3K36me3.broadPeak.gz	cg03049340	E090	1.00e+00
-0.881	7.81e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K36me3	E089-H3K36me3.broadPeak.gz	cg03049340	E089	1.00e+00
-0.077	6.04e-01	E092 Fetal Stomach	Fetal Stomach	H3K36me3	E092-H3K36me3.broadPeak.gz	cg02161503,cg03049340	E092	1.00e+00
-2.225	1.00e+00	E093 Fetal Thymus	Fetal Thymus	H3K36me3	E093-H3K36me3.broadPeak.gz		E093	1.00e+00
1.272	2.02e-01	E094 Gastric	Gastric	H3K36me3	E094-H3K36me3.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg12136608	E094	1.00e+00
-1.304	9.50e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K36me3	E021-H3K36me3.broadPeak.gz	cg10375300	E021	1.00e+00
-1.614	9.71e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K36me3	E022-H3K36me3.broadPeak.gz	cg02161503,cg03049340,cg07295964	E022	1.00e+00
-1.016	8.44e-01	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K36me3	E017-H3K36me3.broadPeak.gz	cg03049340	E017	1.00e+00
0.258	4.47e-01	E097 Ovary	Ovary	H3K36me3	E097-H3K36me3.broadPeak.gz	cg03049340,cg07295964	E097	1.00e+00
-1.248	9.27e-01	E098 Pancreas	Pancreas	H3K36me3	E098-H3K36me3.broadPeak.gz	cg03049340	E098	1.00e+00
-0.916	7.82e-01	E091 Placenta	Placenta	H3K36me3	E091-H3K36me3.broadPeak.gz	cg03049340	E091	1.00e+00
-0.729	6.95e-01	E100 Psoas Muscle	Psoas Muscle	H3K36me3	E100-H3K36me3.broadPeak.gz	cg03049340	E100	1.00e+00
-1.128	9.27e-01	E055 Foreskin Fibroblast Primary Cells skin01	Skin	H3K36me3	E055-H3K36me3.broadPeak.gz	cg03049340,cg07295964	E055	1.00e+00
-1.774	9.83e-01	E056 Foreskin Fibroblast Primary Cells skin02	Skin	H3K36me3	E056-H3K36me3.broadPeak.gz	cg02161503,cg03049340	E056	1.00e+00
-1.118	8.90e-01	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	H3K36me3	E057-H3K36me3.broadPeak.gz	cg10375300	E057	1.00e+00
-0.088	6.60e-01	E059 Foreskin Melanocyte Primary Cells skin01	Skin	H3K36me3	E059-H3K36me3.broadPeak.gz	cg02161503,cg03049340,cg07295964	E059	1.00e+00
-0.264	6.68e-01	E109 Small Intestine	Small Intestine	H3K36me3	E109-H3K36me3.broadPeak.gz	cg03049340,cg10375300	E109	1.00e+00
