Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-1.322	9.50e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E050-H3K27me3.broadPeak.gz	cg07295964	E050	1.00e+00
-0.777	7.47e-01	E050 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E050-H3K36me3.broadPeak.gz	cg10375300	E050	1.00e+00
-1.335	9.50e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me1	E051-H3K4me1.broadPeak.gz	cg07295964,cg12136608	E051	1.00e+00
-1.033	9.01e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K4me3	E051-H3K4me3.broadPeak.gz	cg07295964,cg12136608	E051	1.00e+00
-0.548	5.06e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K9me3	E051-H3K9me3.broadPeak.gz	cg02161503	E051	1.00e+00
-1.044	8.79e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K27me3	E051-H3K27me3.broadPeak.gz	cg07295964	E051	1.00e+00
-0.832	7.53e-01	E051 Primary hematopoietic stem cells G-CSF-mobili	Blood	H3K36me3	E051-H3K36me3.broadPeak.gz	cg10375300	E051	1.00e+00
-1.924	9.90e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me1	E028-H3K4me1.broadPeak.gz	cg07295964	E028	1.00e+00
-2.027	9.90e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K4me3	E028-H3K4me3.broadPeak.gz	cg03049340	E028	1.00e+00
-0.522	4.97e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K9me3	E028-H3K9me3.broadPeak.gz	cg02161503	E028	1.00e+00
-0.242	7.12e-01	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K27me3	E028-H3K27me3.broadPeak.gz	cg07295964,cg12136608,cg19880901	E028	1.00e+00
-2.230	1.00e+00	E028 Breast variant Human Mammary Epithelial Cells	Breast	H3K36me3	E028-H3K36me3.broadPeak.gz		E028	1.00e+00
-0.911	8.96e-01	E003 H1 Cells	ES Cell	H3K4me1	E003-H3K4me1.broadPeak.gz	cg07295964,cg12136608	E003	1.00e+00
-0.089	6.70e-01	E003 H1 Cells	ES Cell	H3K4me3	E003-H3K4me3.broadPeak.gz	cg07295964,cg10872490,cg12136608	E003	1.00e+00
0.132	4.92e-01	E003 H1 Cells	ES Cell	H3K9me3	E003-H3K9me3.broadPeak.gz	cg02161503,cg03049340	E003	1.00e+00
0.738	3.69e-01	E003 H1 Cells	ES Cell	H3K27me3	E003-H3K27me3.broadPeak.gz	cg02161503,cg07295964,cg10872490,cg12136608	E003	1.00e+00
-1.014	8.61e-01	E003 H1 Cells	ES Cell	H3K36me3	E003-H3K36me3.broadPeak.gz	cg02161503	E003	1.00e+00
-2.006	1.00e+00	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me1	E004-H3K4me1.broadPeak.gz		E004	1.00e+00
-0.476	7.71e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K4me3	E004-H3K4me3.broadPeak.gz	cg07295964,cg12136608	E004	1.00e+00
-0.421	3.46e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K9me3	E004-H3K9me3.broadPeak.gz	cg19880901	E004	1.00e+00
0.556	4.16e-01	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K27me3	E004-H3K27me3.broadPeak.gz	cg07295964,cg10872490,cg19880901	E004	1.00e+00
-2.635	1.00e+00	E004 H1 BMP4 Derived Mesendoderm Cultured Cells	ES Cell	H3K36me3	E004-H3K36me3.broadPeak.gz		E004	1.00e+00
-0.772	8.67e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K4me1	E005-H3K4me1.broadPeak.gz	cg03049340,cg07295964,cg10375300	E005	1.00e+00
-0.105	6.89e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K4me3	E005-H3K4me3.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg12136608	E005	1.00e+00
-1.869	9.88e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K9me3	E005-H3K9me3.broadPeak.gz	cg02161503	E005	1.00e+00
-0.070	6.49e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K27me3	E005-H3K27me3.broadPeak.gz	cg03049340,cg10872490,cg19880901	E005	1.00e+00
-0.481	7.67e-01	E005 H1 BMP4 Derived Trophoblast Cultured Cells	ES Cell	H3K36me3	E005-H3K36me3.broadPeak.gz	cg03049340,cg10375300	E005	1.00e+00
0.551	4.50e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K4me1	E006-H3K4me1.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg10375300,cg12136608	E006	1.00e+00
0.628	4.34e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K4me3	E006-H3K4me3.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg10375300,cg12136608	E006	1.00e+00
0.382	3.98e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K9me3	E006-H3K9me3.broadPeak.gz	cg02161503,cg12136608	E006	1.00e+00
-0.932	8.32e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K27me3	E006-H3K27me3.broadPeak.gz	cg12136608	E006	1.00e+00
-0.235	7.16e-01	E006 H1 Derived Mesenchymal Stem Cells	ES Cell	H3K36me3	E006-H3K36me3.broadPeak.gz	cg02161503,cg03049340,cg12136608	E006	1.00e+00
-1.224	9.46e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K4me1	E007-H3K4me1.broadPeak.gz	cg07295964,cg12136608	E007	1.00e+00
-0.932	8.93e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K4me3	E007-H3K4me3.broadPeak.gz	cg03049340,cg07295964,cg12136608	E007	1.00e+00
-1.352	9.52e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K9me3	E007-H3K9me3.broadPeak.gz	cg02161503	E007	1.00e+00
0.387	4.68e-01	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K27me3	E007-H3K27me3.broadPeak.gz	cg02161503,cg07295964,cg10872490	E007	1.00e+00
-2.190	1.00e+00	E007 H1 Derived Neuronal Progenitor Cultured Cells	ES Cell	H3K36me3	E007-H3K36me3.broadPeak.gz		E007	1.00e+00
-1.087	8.93e-01	E008 H9 Cells	ES Cell	H3K4me1	E008-H3K4me1.broadPeak.gz	cg12136608	E008	1.00e+00
-0.763	8.53e-01	E008 H9 Cells	ES Cell	H3K4me3	E008-H3K4me3.broadPeak.gz	cg03049340,cg07295964,cg12136608	E008	1.00e+00
-1.295	9.52e-01	E008 H9 Cells	ES Cell	H3K9me3	E008-H3K9me3.broadPeak.gz	cg03049340,cg07295964	E008	1.00e+00
0.191	4.74e-01	E008 H9 Cells	ES Cell	H3K27me3	E008-H3K27me3.broadPeak.gz	cg10375300,cg10872490	E008	1.00e+00
1.348	1.72e-01	E008 H9 Cells	ES Cell	H3K36me3	E008-H3K36me3.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg12136608,cg19880901	E008	1.00e+00
-0.562	8.23e-01	E085 Fetal Intestine Small	Feta Intestine Small	H3K4me1	E085-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E085	1.00e+00
-1.026	9.01e-01	E085 Fetal Intestine Small	Feta Intestine Small	H3K4me3	E085-H3K4me3.broadPeak.gz	cg07295964,cg12136608	E085	1.00e+00
-1.166	9.10e-01	E085 Fetal Intestine Small	Feta Intestine Small	H3K9me3	E085-H3K9me3.broadPeak.gz	cg02161503	E085	1.00e+00
-0.043	6.48e-01	E085 Fetal Intestine Small	Feta Intestine Small	H3K27me3	E085-H3K27me3.broadPeak.gz	cg07295964,cg12136608,cg19880901	E085	1.00e+00
-1.841	9.87e-01	E085 Fetal Intestine Small	Feta Intestine Small	H3K36me3	E085-H3K36me3.broadPeak.gz	cg03049340	E085	1.00e+00
-0.473	7.93e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K4me1	E080-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E080	1.00e+00
-0.835	8.60e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K4me3	E080-H3K4me3.broadPeak.gz	cg07295964,cg12136608	E080	1.00e+00
2.108	6.18e-02	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K9me3	E080-H3K9me3.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg12136608	E080	1.00e+00
0.704	3.76e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K27me3	E080-H3K27me3.broadPeak.gz	cg02161503,cg07295964,cg12136608,cg19880901	E080	1.00e+00
0.059	5.45e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	H3K36me3	E080-H3K36me3.broadPeak.gz	cg03049340,cg19880901	E080	1.00e+00
0.133	6.03e-01	E081 Fetal Brain Male	Fetal Brain	H3K4me1	E081-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg10872490,cg12136608	E081	1.00e+00
-1.224	9.22e-01	E081 Fetal Brain Male	Fetal Brain	H3K4me3	E081-H3K4me3.broadPeak.gz	cg12136608	E081	1.00e+00
-0.009	5.72e-01	E081 Fetal Brain Male	Fetal Brain	H3K9me3	E081-H3K9me3.broadPeak.gz	cg02161503,cg12136608	E081	1.00e+00
-1.096	8.84e-01	E081 Fetal Brain Male	Fetal Brain	H3K27me3	E081-H3K27me3.broadPeak.gz	cg10872490	E081	1.00e+00
0.945	2.10e-01	E081 Fetal Brain Male	Fetal Brain	H3K36me3	E081-H3K36me3.broadPeak.gz	cg02161503,cg19880901	E081	1.00e+00
-0.479	7.85e-01	E082 Fetal Brain Female	Fetal Brain	H3K4me1	E082-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E082	1.00e+00
-0.925	8.79e-01	E082 Fetal Brain Female	Fetal Brain	H3K4me3	E082-H3K4me3.broadPeak.gz	cg07295964,cg12136608	E082	1.00e+00
-0.428	3.49e-01	E082 Fetal Brain Female	Fetal Brain	H3K9me3	E082-H3K9me3.broadPeak.gz	cg02161503	E082	1.00e+00
1.193	2.23e-01	E082 Fetal Brain Female	Fetal Brain	H3K27me3	E082-H3K27me3.broadPeak.gz	cg02161503,cg10872490,cg12136608,cg19880901	E082	1.00e+00
1.626	1.51e-01	E082 Fetal Brain Female	Fetal Brain	H3K36me3	E082-H3K36me3.broadPeak.gz	cg02161503,cg03049340,cg10375300	E082	1.00e+00
-1.081	9.16e-01	E083 Fetal Heart	Fetal Heart	H3K4me1	E083-H3K4me1.broadPeak.gz	cg07295964,cg12136608	E083	1.00e+00
-1.035	8.95e-01	E083 Fetal Heart	Fetal Heart	H3K4me3	E083-H3K4me3.broadPeak.gz	cg02161503,cg12136608	E083	1.00e+00
0.691	3.54e-01	E083 Fetal Heart	Fetal Heart	H3K9me3	E083-H3K9me3.broadPeak.gz	cg02161503,cg10375300,cg10872490	E083	1.00e+00
0.321	4.17e-01	E083 Fetal Heart	Fetal Heart	H3K27me3	E083-H3K27me3.broadPeak.gz	cg10872490,cg12136608	E083	1.00e+00
1.617	1.33e-01	E083 Fetal Heart	Fetal Heart	H3K36me3	E083-H3K36me3.broadPeak.gz	cg03049340,cg10872490,cg12136608	E083	1.00e+00
-1.154	9.34e-01	E084 Fetal Intestine Large	Fetal Intestine Large	H3K4me1	E084-H3K4me1.broadPeak.gz	cg07295964,cg10375300	E084	1.00e+00
-0.881	8.69e-01	E084 Fetal Intestine Large	Fetal Intestine Large	H3K4me3	E084-H3K4me3.broadPeak.gz	cg07295964,cg12136608	E084	1.00e+00
-0.756	8.47e-01	E084 Fetal Intestine Large	Fetal Intestine Large	H3K9me3	E084-H3K9me3.broadPeak.gz	cg02161503,cg07295964	E084	1.00e+00
1.894	7.85e-02	E084 Fetal Intestine Large	Fetal Intestine Large	H3K27me3	E084-H3K27me3.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg12136608,cg19880901	E084	1.00e+00
-2.103	1.00e+00	E084 Fetal Intestine Large	Fetal Intestine Large	H3K36me3	E084-H3K36me3.broadPeak.gz		E084	1.00e+00
-2.147	1.00e+00	E086 Fetal Kidney	Fetal Kidney	H3K4me1	E086-H3K4me1.broadPeak.gz		E086	1.00e+00
-1.772	9.79e-01	E086 Fetal Kidney	Fetal Kidney	H3K4me3	E086-H3K4me3.broadPeak.gz	cg12136608	E086	1.00e+00
-2.213	1.00e+00	E086 Fetal Kidney	Fetal Kidney	H3K9me3	E086-H3K9me3.broadPeak.gz		E086	1.00e+00
-0.157	6.15e-01	E086 Fetal Kidney	Fetal Kidney	H3K27me3	E086-H3K27me3.broadPeak.gz	cg10872490,cg12136608	E086	1.00e+00
-2.277	1.00e+00	E086 Fetal Kidney	Fetal Kidney	H3K36me3	E086-H3K36me3.broadPeak.gz		E086	1.00e+00
0.213	5.67e-01	E088 Fetal Lung	Fetal Lung	H3K4me1	E088-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg10872490,cg12136608	E088	1.00e+00
-1.258	9.34e-01	E088 Fetal Lung	Fetal Lung	H3K4me3	E088-H3K4me3.broadPeak.gz	cg10375300,cg12136608	E088	1.00e+00
-0.484	4.49e-01	E088 Fetal Lung	Fetal Lung	H3K9me3	E088-H3K9me3.broadPeak.gz	cg02161503	E088	1.00e+00
0.467	4.25e-01	E088 Fetal Lung	Fetal Lung	H3K27me3	E088-H3K27me3.broadPeak.gz	cg07295964,cg10872490,cg12136608	E088	1.00e+00
-0.245	6.74e-01	E088 Fetal Lung	Fetal Lung	H3K36me3	E088-H3K36me3.broadPeak.gz	cg03049340,cg10375300	E088	1.00e+00
-0.860	8.86e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K4me1	E090-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E090	1.00e+00
-1.755	9.74e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K4me3	E090-H3K4me3.broadPeak.gz	cg12136608	E090	1.00e+00
-0.392	3.81e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K9me3	E090-H3K9me3.broadPeak.gz	cg02161503	E090	1.00e+00
-0.700	8.60e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K27me3	E090-H3K27me3.broadPeak.gz	cg07295964,cg12136608,cg19880901	E090	1.00e+00
-1.080	8.81e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	H3K36me3	E090-H3K36me3.broadPeak.gz	cg03049340	E090	1.00e+00
-2.033	9.91e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K4me1	E089-H3K4me1.broadPeak.gz	cg07295964,cg12136608	E089	1.00e+00
-1.746	9.77e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K4me3	E089-H3K4me3.broadPeak.gz	cg12136608	E089	1.00e+00
-0.390	3.29e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K9me3	E089-H3K9me3.broadPeak.gz	cg02161503	E089	1.00e+00
-1.138	9.27e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K27me3	E089-H3K27me3.broadPeak.gz	cg07295964,cg12136608	E089	1.00e+00
-0.872	7.81e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	H3K36me3	E089-H3K36me3.broadPeak.gz	cg03049340	E089	1.00e+00
-1.645	9.75e-01	E092 Fetal Stomach	Fetal Stomach	H3K4me1	E092-H3K4me1.broadPeak.gz	cg07295964,cg12136608	E092	1.00e+00
-0.859	8.67e-01	E092 Fetal Stomach	Fetal Stomach	H3K4me3	E092-H3K4me3.broadPeak.gz	cg07295964,cg12136608	E092	1.00e+00
0.351	5.08e-01	E092 Fetal Stomach	Fetal Stomach	H3K9me3	E092-H3K9me3.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg12136608	E092	1.00e+00
-0.243	7.41e-01	E092 Fetal Stomach	Fetal Stomach	H3K27me3	E092-H3K27me3.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg12136608	E092	1.00e+00
-0.044	6.07e-01	E092 Fetal Stomach	Fetal Stomach	H3K36me3	E092-H3K36me3.broadPeak.gz	cg02161503,cg03049340	E092	1.00e+00
-1.671	9.77e-01	E093 Fetal Thymus	Fetal Thymus	H3K4me1	E093-H3K4me1.broadPeak.gz	cg07295964,cg12136608	E093	1.00e+00
-1.878	9.82e-01	E093 Fetal Thymus	Fetal Thymus	H3K4me3	E093-H3K4me3.broadPeak.gz	cg12136608	E093	1.00e+00
0.039	6.66e-01	E093 Fetal Thymus	Fetal Thymus	H3K9me3	E093-H3K9me3.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg12136608,cg19880901	E093	1.00e+00
0.133	5.78e-01	E093 Fetal Thymus	Fetal Thymus	H3K27me3	E093-H3K27me3.broadPeak.gz	cg07295964,cg10872490,cg12136608	E093	1.00e+00
-2.094	1.00e+00	E093 Fetal Thymus	Fetal Thymus	H3K36me3	E093-H3K36me3.broadPeak.gz		E093	1.00e+00
-0.019	6.61e-01	E094 Gastric	Gastric	H3K4me1	E094-H3K4me1.broadPeak.gz	cg03049340,cg07295964,cg10872490,cg12136608	E094	1.00e+00
-1.022	9.04e-01	E094 Gastric	Gastric	H3K4me3	E094-H3K4me3.broadPeak.gz	cg03049340,cg07295964,cg12136608	E094	1.00e+00
0.466	4.29e-01	E094 Gastric	Gastric	H3K9me3	E094-H3K9me3.broadPeak.gz	cg03049340,cg07295964,cg12136608	E094	1.00e+00
-1.375	9.53e-01	E094 Gastric	Gastric	H3K27me3	E094-H3K27me3.broadPeak.gz	cg12136608	E094	1.00e+00
1.210	2.10e-01	E094 Gastric	Gastric	H3K36me3	E094-H3K36me3.broadPeak.gz	cg02161503,cg03049340,cg07295964,cg12136608	E094	1.00e+00
-1.151	9.33e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K4me1	E021-H3K4me1.broadPeak.gz	cg07295964,cg19880901	E021	1.00e+00
-0.277	7.31e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K4me3	E021-H3K4me3.broadPeak.gz	cg02161503,cg07295964,cg12136608	E021	1.00e+00
-0.499	4.36e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K9me3	E021-H3K9me3.broadPeak.gz	cg02161503	E021	1.00e+00
-0.248	6.70e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K27me3	E021-H3K27me3.broadPeak.gz	cg02161503,cg10872490	E021	1.00e+00
-1.342	9.47e-01	E021 iPS DF 6.9 Cells	IPS cell	H3K36me3	E021-H3K36me3.broadPeak.gz	cg10375300	E021	1.00e+00
-1.856	9.85e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K4me1	E022-H3K4me1.broadPeak.gz	cg03049340,cg07295964	E022	1.00e+00
-0.556	8.07e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K4me3	E022-H3K4me3.broadPeak.gz	cg03049340,cg07295964,cg12136608	E022	1.00e+00
-0.462	7.96e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K9me3	E022-H3K9me3.broadPeak.gz	cg02161503,cg03049340,cg19880901	E022	1.00e+00
0.226	5.36e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K27me3	E022-H3K27me3.broadPeak.gz	cg02161503,cg10872490,cg19880901	E022	1.00e+00
-1.600	9.73e-01	E022 iPS DF 19.11 Cells	IPS cell	H3K36me3	E022-H3K36me3.broadPeak.gz	cg02161503,cg03049340,cg07295964	E022	1.00e+00
0.073	6.05e-01	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K4me1	E017-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E017	1.00e+00
-1.557	9.60e-01	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K4me3	E017-H3K4me3.broadPeak.gz	cg12136608	E017	1.00e+00
0.227	4.58e-01	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K9me3	E017-H3K9me3.broadPeak.gz	cg02161503,cg12136608	E017	1.00e+00
0.703	3.41e-01	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K27me3	E017-H3K27me3.broadPeak.gz	cg07295964,cg10872490,cg12136608	E017	1.00e+00
-1.060	8.55e-01	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	H3K36me3	E017-H3K36me3.broadPeak.gz	cg03049340	E017	1.00e+00
-0.628	8.18e-01	E097 Ovary	Ovary	H3K4me1	E097-H3K4me1.broadPeak.gz	cg07295964,cg10375300	E097	1.00e+00
0.235	5.62e-01	E097 Ovary	Ovary	H3K4me3	E097-H3K4me3.broadPeak.gz	cg07295964,cg10375300,cg12136608	E097	1.00e+00
-0.023	5.59e-01	E097 Ovary	Ovary	H3K9me3	E097-H3K9me3.broadPeak.gz	cg07295964,cg19880901	E097	1.00e+00
-0.978	8.40e-01	E097 Ovary	Ovary	H3K27me3	E097-H3K27me3.broadPeak.gz	cg07295964	E097	1.00e+00
0.240	4.60e-01	E097 Ovary	Ovary	H3K36me3	E097-H3K36me3.broadPeak.gz	cg03049340,cg07295964	E097	1.00e+00
-1.002	9.16e-01	E098 Pancreas	Pancreas	H3K4me1	E098-H3K4me1.broadPeak.gz	cg03049340,cg07295964,cg12136608	E098	1.00e+00
-1.355	9.48e-01	E098 Pancreas	Pancreas	H3K4me3	E098-H3K4me3.broadPeak.gz	cg07295964,cg12136608	E098	1.00e+00
-0.873	8.88e-01	E098 Pancreas	Pancreas	H3K9me3	E098-H3K9me3.broadPeak.gz	cg07295964,cg12136608	E098	1.00e+00
-1.173	9.18e-01	E098 Pancreas	Pancreas	H3K27me3	E098-H3K27me3.broadPeak.gz	cg07295964	E098	1.00e+00
-1.330	9.36e-01	E098 Pancreas	Pancreas	H3K36me3	E098-H3K36me3.broadPeak.gz	cg03049340	E098	1.00e+00
-1.543	9.68e-01	E091 Placenta	Placenta	H3K4me1	E091-H3K4me1.broadPeak.gz	cg07295964,cg12136608	E091	1.00e+00
-1.543	9.62e-01	E091 Placenta	Placenta	H3K4me3	E091-H3K4me3.broadPeak.gz	cg12136608	E091	1.00e+00
-1.173	9.22e-01	E091 Placenta	Placenta	H3K9me3	E091-H3K9me3.broadPeak.gz	cg02161503	E091	1.00e+00
-0.328	7.51e-01	E091 Placenta	Placenta	H3K27me3	E091-H3K27me3.broadPeak.gz	cg02161503,cg07295964,cg12136608	E091	1.00e+00
-0.870	7.78e-01	E091 Placenta	Placenta	H3K36me3	E091-H3K36me3.broadPeak.gz	cg03049340	E091	1.00e+00
0.239	5.19e-01	E100 Psoas Muscle	Psoas Muscle	H3K4me1	E100-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E100	1.00e+00
-1.719	9.73e-01	E100 Psoas Muscle	Psoas Muscle	H3K4me3	E100-H3K4me3.broadPeak.gz	cg12136608	E100	1.00e+00
