Zscore	Pvalue	Cell	Tissue	File	Probe	Accession	Qvalue
1.720	8.44e-02	CD8_Mobilised	Blood	UW.Mobilized_CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS16962.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02275294,cg03549127,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08955609,cg08966023,cg09238677,cg09593286,cg09914304,cg10037068,cg10061117,cg10559803,cg10639440,cg11223864,cg11378840,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12916723,cg12966875,cg12971694,cg13014406,cg13021192,cg13225039,cg13299148,cg13311440,cg13800022,cg14694232,cg15052335,cg15512851,cg15834294,cg16116363,cg16408394,cg16419345,cg17048483,cg17338403,cg17509612,cg17711870,cg17808849,cg18125479,cg18277508,cg18353563,cg19032144,cg19049316,cg19398783,cg19496782,cg19569684,cg19740763,cg19848683,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24497819,cg24612198,cg25705900,cg25882366,cg25892434,cg25902460,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM817160	1.00e+00
2.111	4.22e-02	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01549.DS16012.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02275294,cg02310296,cg03465320,cg03549127,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08955609,cg08966023,cg09238677,cg09593286,cg09914304,cg10037068,cg10061117,cg10559803,cg10639440,cg11223864,cg11378840,cg11536940,cg11826116,cg12044210,cg12082568,cg12090388,cg12335708,cg12916723,cg12971694,cg13014406,cg13021192,cg13225039,cg13299148,cg13311440,cg13800022,cg14694232,cg15052335,cg15512851,cg15834294,cg16116363,cg16408394,cg16419345,cg16580737,cg17048483,cg17338403,cg17509612,cg17711870,cg17808849,cg18277508,cg18353563,cg19032144,cg19049316,cg19186356,cg19398783,cg19496782,cg19569684,cg19740763,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24497819,cg24612198,cg24805239,cg25705900,cg25892434,cg26131019,cg26594488,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM665813	1.00e+00
2.982	5.58e-03	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01679.DS17203.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02275294,cg02310296,cg03465320,cg03549127,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08966023,cg09238677,cg09593286,cg09604203,cg09914304,cg10037068,cg10061117,cg10559803,cg10639440,cg11223864,cg11378840,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12916723,cg12971694,cg13014406,cg13021192,cg13225039,cg13311440,cg13800022,cg14088811,cg14694232,cg15834294,cg16116363,cg16408394,cg16419345,cg17048483,cg17142183,cg17338403,cg17509612,cg17711870,cg17808849,cg18277508,cg18353563,cg19032144,cg19049316,cg19186356,cg19398783,cg19496782,cg19569684,cg19614321,cg19740763,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24480859,cg24497819,cg24612198,cg25705900,cg25882366,cg25892434,cg25902460,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881	GSM665838	5.82e-01
2.273	2.34e-02	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01689.DS17332.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02275294,cg02310296,cg03465320,cg03549127,cg03771255,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08955609,cg08966023,cg09237521,cg09238677,cg09593286,cg09914304,cg10037068,cg10061117,cg11223864,cg11378840,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12916723,cg12971694,cg13014406,cg13021192,cg13225039,cg13311440,cg13800022,cg14102807,cg14694232,cg15834294,cg16116363,cg16408394,cg16419345,cg17048483,cg17338403,cg17509612,cg17711870,cg17808849,cg18277508,cg18353563,cg18424091,cg19032144,cg19049316,cg19186356,cg19398783,cg19496782,cg19569684,cg19740763,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24497819,cg24612198,cg24805239,cg25705900,cg25882366,cg25892434,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM701499	1.00e+00
1.839	7.24e-02	CD8	Blood	UW.CD8_Primary_Cells.ChromatinAccessibility.RO_01701.DS17885.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01357263,cg01414934,cg01532103,cg02275294,cg02310296,cg03549127,cg03771255,cg03876622,cg03922337,cg04060163,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08966023,cg09238677,cg09593286,cg09604203,cg09914304,cg10037068,cg10559803,cg10639440,cg11223864,cg11378840,cg11536940,cg11826116,cg12044210,cg12082568,cg12090388,cg12916723,cg13014406,cg13021192,cg13225039,cg13311440,cg13800022,cg14088811,cg14694232,cg15052335,cg15512851,cg15834294,cg16116363,cg16408394,cg16419345,cg17048483,cg17338403,cg17509612,cg17711870,cg17808849,cg18277508,cg18353563,cg19032144,cg19049316,cg19398783,cg19496782,cg19569684,cg19740763,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24497819,cg24612198,cg25705900,cg25882366,cg25892434,cg25902460,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881	GSM701540	1.00e+00
3.780	4.64e-04	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01689.DS17391.twopass.merge150.wgt10.zgt2.wig	cg00746981,cg01064957,cg01120308,cg01414934,cg01532103,cg02275294,cg02310296,cg03549127,cg03763616,cg03771255,cg03876622,cg04060163,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06855803,cg08069899,cg08592230,cg08966023,cg09238677,cg09593286,cg10061117,cg10559803,cg10639440,cg11098259,cg11223864,cg11378840,cg11536940,cg11826116,cg12082568,cg12090388,cg12916723,cg12966875,cg12971694,cg13014406,cg13021192,cg13225039,cg13311440,cg13800022,cg14088811,cg14694232,cg15052335,cg15512851,cg15528736,cg15834294,cg16097772,cg16116363,cg16408394,cg16419345,cg16580737,cg16779976,cg17048483,cg17142183,cg17338403,cg17711870,cg17808849,cg18125479,cg18277508,cg18353563,cg19049316,cg19186356,cg19398783,cg19614321,cg19848683,cg19903333,cg20141916,cg20209009,cg20652889,cg21020082,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24480859,cg24497819,cg24805239,cg25892434,cg25902460,cg26620356,cg26635603,cg27187881,cg27465566	GSM701503	1.09e-01
2.407	1.71e-02	CD14	Blood	UW.CD14_Primary_Cells.ChromatinAccessibility.RO_01701.DS17889.twopass.merge150.wgt10.zgt2.wig	cg01064957,cg01120308,cg01414934,cg01532103,cg02310296,cg03549127,cg03771255,cg04060163,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06855803,cg08400120,cg08491964,cg08592230,cg08966023,cg09238677,cg09593286,cg11098259,cg11223864,cg11536940,cg11826116,cg12082568,cg12090388,cg12966875,cg12971694,cg13021192,cg13299148,cg13311440,cg13800022,cg14088811,cg14694232,cg15512851,cg15528736,cg15834294,cg16116363,cg16408394,cg16419345,cg16779976,cg17048483,cg17142183,cg17338403,cg17711870,cg17808849,cg19049316,cg19186356,cg19398783,cg19614321,cg19740763,cg19903333,cg20652889,cg21020082,cg21022247,cg21120786,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24480859,cg24497819,cg24805239,cg25892434,cg26620356,cg26635603,cg26643856,cg27187881	GSM701541	1.00e+00
3.569	1.58e-03	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01679.DS17186.twopass.merge150.wgt10.zgt2.wig	cg00226923,cg00746981,cg01064957,cg01120308,cg01357263,cg01414934,cg01532103,cg02275294,cg02310296,cg03072378,cg03465320,cg03549127,cg03763616,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08966023,cg09238677,cg09593286,cg09604203,cg09941381,cg10061117,cg10559803,cg10639440,cg11223864,cg11378840,cg11536940,cg11826116,cg12082568,cg12090388,cg12971694,cg13014406,cg13225039,cg13299148,cg13311440,cg13765621,cg13800022,cg14088811,cg14694232,cg14740251,cg15052335,cg15512851,cg15528736,cg15834294,cg16116363,cg16177830,cg16408394,cg16419345,cg16779976,cg16826718,cg17048483,cg17142183,cg17509612,cg17711870,cg17808849,cg18125479,cg18277508,cg18353563,cg19032144,cg19049316,cg19186356,cg19398783,cg19569684,cg19614321,cg19740763,cg19903333,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23447996,cg23792364,cg24235633,cg24267801,cg24480859,cg24497819,cg24805239,cg25705900,cg25892434,cg25902460,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM701492	2.96e-01
3.896	4.62e-04	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01689.DS17281.twopass.merge150.wgt10.zgt2.wig	cg00226923,cg00746981,cg01064957,cg01120308,cg01357263,cg01414934,cg01532103,cg02275294,cg02310296,cg03465320,cg03549127,cg03763616,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg06168050,cg06305609,cg06378976,cg06855803,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08955609,cg08966023,cg09238677,cg09593286,cg09604203,cg09941381,cg10037068,cg10061117,cg10559803,cg10639440,cg11223864,cg11378840,cg11536940,cg11826116,cg12082568,cg12090388,cg12335708,cg12971694,cg13014406,cg13021192,cg13225039,cg13299148,cg13311440,cg13765621,cg14088811,cg14102807,cg14694232,cg15512851,cg15834294,cg16116363,cg16177830,cg16408394,cg16419345,cg16779976,cg16826718,cg17048483,cg17142183,cg17509612,cg17711870,cg17808849,cg18125479,cg18277508,cg18353563,cg19032144,cg19049316,cg19186356,cg19398783,cg19569684,cg19614321,cg19740763,cg19848683,cg19903333,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23447996,cg23792364,cg24235633,cg24267801,cg24480859,cg24497819,cg24805239,cg25705900,cg25882366,cg25892434,cg25902460,cg25906419,cg26131019,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM701493	1.09e-01
3.382	1.96e-03	CD19	Blood	UW.CD19_Primary_Cells.ChromatinAccessibility.RO_01701.DS17440.twopass.merge150.wgt10.zgt2.wig	cg00226923,cg00746981,cg01064957,cg01120308,cg01357263,cg01414934,cg01532103,cg02275294,cg02989257,cg03549127,cg03763616,cg03771255,cg03876622,cg03922337,cg04060163,cg04398978,cg04790874,cg04856203,cg05229898,cg05232067,cg05311623,cg05367858,cg05564251,cg05825950,cg05920090,cg06168050,cg06305609,cg06378976,cg06855803,cg07009002,cg08069899,cg08081725,cg08400120,cg08491964,cg08592230,cg08966023,cg09238677,cg09593286,cg09604203,cg10037068,cg10061117,cg10559803,cg10639440,cg11223864,cg11378840,cg11536940,cg11826116,cg11874272,cg12082568,cg12090388,cg12335708,cg12971694,cg13014406,cg13021192,cg13225039,cg13311440,cg13765621,cg13800022,cg14088811,cg14102807,cg14694232,cg15489422,cg15512851,cg15528736,cg15834294,cg16116363,cg16177830,cg16408394,cg16419345,cg16779976,cg16826718,cg17048483,cg17509612,cg17711870,cg17808849,cg18125479,cg18277508,cg18353563,cg19032144,cg19049316,cg19398783,cg19569684,cg19614321,cg19740763,cg19848683,cg19903333,cg20209009,cg20652889,cg21020082,cg21022247,cg21120786,cg22054191,cg22425806,cg22753607,cg23792364,cg24235633,cg24267801,cg24480859,cg24497819,cg24805239,cg25705900,cg25892434,cg25906419,cg26620356,cg26635603,cg26643856,cg27187881,cg27465566	GSM701507	3.35e-01
