Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-0.257	6.87e-01	E085 Fetal Intestine Small	Feta Intestine Small	DHS	E085-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E085	1.00e+00
-0.292	7.07e-01	E080 Fetal Adrenal Gland	Fetal Adrenal Gland	DHS	E080-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg10375300	E080	1.00e+00
1.097	2.61e-01	E081 Fetal Brain Male	Fetal Brain	DHS	E081-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg10375300,cg12136608	E081	1.00e+00
-0.021	5.81e-01	E082 Fetal Brain Female	Fetal Brain	DHS	E082-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E082	1.00e+00
-1.532	9.63e-01	E083 Fetal Heart	Fetal Heart	DHS	E083-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964	E083	1.00e+00
-0.256	6.80e-01	E084 Fetal Intestine Large	Fetal Intestine Large	DHS	E084-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E084	1.00e+00
-0.385	7.39e-01	E086 Fetal Kidney	Fetal Kidney	DHS	E086-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E086	1.00e+00
0.400	4.90e-01	E088 Fetal Lung	Fetal Lung	DHS	E088-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg10375300,cg12136608	E088	1.00e+00
0.348	5.04e-01	E090 Fetal Muscle Leg	Fetal Muscle Leg	DHS	E090-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg10375300,cg12136608	E090	1.00e+00
0.393	4.89e-01	E089 Fetal Muscle Trunk	Fetal Muscle Trunk	DHS	E089-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg10375300,cg12136608	E089	1.00e+00
-0.759	8.38e-01	E092 Fetal Stomach	Fetal Stomach	DHS	E092-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E092	1.00e+00
-0.292	7.05e-01	E093 Fetal Thymus	Fetal Thymus	DHS	E093-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E093	1.00e+00
0.210	4.98e-01	E094 Gastric	Gastric	DHS	E094-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E094	1.00e+00
-0.316	7.10e-01	E021 iPS DF 6.9 Cells	IPS cell	DHS	E021-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E021	1.00e+00
-0.131	6.39e-01	E022 iPS DF 19.11 Cells	IPS cell	DHS	E022-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E022	1.00e+00
-0.916	8.20e-01	E017 IMR90 fetal lung fibroblasts Cell Line	Lung	DHS	E017-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964	E017	1.00e+00
0.794	3.67e-01	E097 Ovary	Ovary	DHS	E097-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg10375300,cg12136608	E097	1.00e+00
-1.120	8.91e-01	E098 Pancreas	Pancreas	DHS	E098-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964	E098	1.00e+00
-0.423	7.43e-01	E091 Placenta	Placenta	DHS	E091-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E091	1.00e+00
-0.257	6.87e-01	E100 Psoas Muscle	Psoas Muscle	DHS	E100-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg10375300	E100	1.00e+00
-0.362	7.19e-01	E055 Foreskin Fibroblast Primary Cells skin01	Skin	DHS	E055-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg10375300	E055	1.00e+00
-1.200	9.07e-01	E056 Foreskin Fibroblast Primary Cells skin02	Skin	DHS	E056-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964	E056	1.00e+00
0.902	3.17e-01	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	DHS	E057-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg10375300,cg12136608	E057	1.00e+00
-0.167	6.49e-01	E059 Foreskin Melanocyte Primary Cells skin01	Skin	DHS	E059-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E059	1.00e+00
-0.199	6.59e-01	E109 Small Intestine	Small Intestine	DHS	E109-DNase.hotspot.fdr0.01.broad.bed.gz	cg07295964,cg12136608	E109	1.00e+00
